"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.09231393766106e-12,0.509055683436337,0.429,0.167,1.77806862772467e-08,"4","Crlf1"
1.28455796215384e-12,0.456419325662721,0.301,0.093,2.09100345079402e-08,"4","Tril"
1.58410045299711e-12,0.284766864875822,1,1,2.5785987173887e-08,"4","Tpt1"
1.6495978255589e-12,0.369768028526043,0.293,0.088,2.68521534044478e-08,"4","Rpa2"
2.18701262604775e-12,0.515552599235935,0.556,0.264,3.56001915268053e-08,"4","Sostdc1"
4.92036737770045e-12,0.293160177899487,0.293,0.088,8.0093740174208e-08,"4","Nmral1"
5.24114965918040e-12,0.629176210671772,0.632,0.386,8.53154341521386e-08,"4","Dtymk"
7.12601629245102e-12,0.572981558125087,0.722,0.463,1.15997293208518e-07,"4","Srsf3"
7.37996758217412e-12,0.330544545494646,1,0.996,1.2013111230263e-07,"4","Rpl7a"
8.97675556200978e-12,0.346718101990183,0.278,0.083,1.46123627038395e-07,"4","Dnmt1"
9.66134140367891e-12,0.886973968139418,0.586,0.348,1.57267315369085e-07,"4","Bmp4"
9.72677520398358e-12,0.496605007707582,0.985,0.983,1.58332446770445e-07,"4","Gas5"
1.12952243197758e-11,0.327698596603966,1,1,1.8386366147731e-07,"4","Rpl36"
1.25585773172982e-11,0.299378700634645,0.271,0.078,2.0442852157098e-07,"4","Dock10"
1.32983345399701e-11,0.46036936392272,0.955,0.913,2.16470289641633e-07,"4","Snrpf"
1.42415739737503e-11,0.873161083782027,0.436,0.21,2.31824341144708e-07,"4","Smc4"
1.77172897391797e-11,0.375596737128452,1,1,2.88402042374367e-07,"4","Rpl37"
3.65087028384388e-11,0.414947132144021,0.977,0.917,5.94288664804106e-07,"4","Snrpb"
3.75056853123053e-11,0.384270245608473,0.421,0.175,6.10517545513705e-07,"4","Mthfd2"
4.04084544861215e-11,0.516983797105588,0.91,0.714,6.57768822125085e-07,"4","Tpm4"
4.3288047548192e-11,0.430426452514328,1,0.998,7.0464283798947e-07,"4","Rpl22"
5.14333972294318e-11,0.741722541977973,0.338,0.134,8.3723284010069e-07,"4","Cdkn2c"
5.33268029826849e-11,0.365614989415054,1,0.999,8.68053698952145e-07,"4","Rpl5"
6.90591842522775e-11,0.318677203912557,0.286,0.091,1.12414540125857e-06,"4","Psat1"
7.34881685546537e-11,0.643382019039403,0.353,0.14,1.19624040773265e-06,"4","AW549542"
9.74803665384848e-11,0.333297206917378,1,1,1.58678540651345e-06,"4","Rpl34"
9.7824267716675e-11,0.373533594363508,0.368,0.145,1.59238342989204e-06,"4","Lmo1"
1.01156967919878e-10,0.713335553228382,0.789,0.584,1.64663312379977e-06,"4","Gm15501"
1.12082798120131e-10,0.374479924942898,0.391,0.162,1.82448378779949e-06,"4","C1qtnf12"
1.46289963543818e-10,0.256155635444376,1,1,2.38130802656626e-06,"4","Fau"
1.50494964045957e-10,0.285775251144434,0.256,0.077,2.4497570247401e-06,"4","Npm3-ps1"
2.27920643230635e-10,0.521878573283166,0.842,0.653,3.71009223050828e-06,"4","Snrpd1"
